id,title,author,alt_titles,format,year
1124,Never Let Me Go,Kazuo Ishiguro,,Paperback,2005
1125,The Remains of the Day,Kazuo Ishiguro,,Paperback,1989
1126,Klara and the Sun,Kazuo Ishiguro,,Hardcover,2021
1127,Normal People,Sally Rooney,,Paperback,2018
1128,Conversations with Friends,Sally Rooney,,Paperback,2017
1129,Little Fires Everywhere,Celeste Ng,,Paperback,2017
1130,The Vanishing Half,Brit Bennett,,Hardcover,2020
1131,Homegoing,Yaa Gyasi,,Paperback,2016
1132,The Immortal Life of Henrietta Lacks,Rebecca Skloot,,Paperback,2010
1133,A Brief History of Time,Stephen Hawking,,Paperback,1988
1134,Cosmos,Carl Sagan,,Paperback,1980
1135,The Selfish Gene,Richard Dawkins,,Paperback,1976
1136,"Guns, Germs, and Steel",Jared Diamond,,Paperback,1997
1137,Charlotte's Web,E.B. White,,Paperback,1952
1138,Eragon,Christopher Paolini,,Paperback,2002
1139,The Fault in Our Stars,John Green,,Paperback,2012
1140,Looking for Alaska,John Green,,Paperback,2005
1141,Divergent,Veronica Roth,,Paperback,2011
1142,Insurgent,Veronica Roth,,Paperback,2012
1143,The Maze Runner,James Dashner,,Paperback,2009
1144,Twilight,Stephenie Meyer,,Paperback,2005
1145,New Moon,Stephenie Meyer,,Paperback,2006
1146,The Perks of Being a Wallflower,Stephen Chbosky,,Paperback,1999
1147,Where the Wild Things Are,Maurice Sendak,,Hardcover,1963
1148,The Very Hungry Caterpillar,Eric Carle,,Board Book,1969
1149,Goodnight Moon,Margaret Wise Brown,,Board Book,1947
1150,The Name of the Wind,Patrick Rothfuss,,Paperback,2007
1151,Mistborn: The Final Empire,Brandon Sanderson,Mistborn,Paperback,2006
1152,The Way of Kings,Brandon Sanderson,,Hardcover,2010
1153,Steve Jobs,Walter Isaacson,,Hardcover,2011
1154,Leonardo da Vinci,Walter Isaacson,,Hardcover,2017
1155,The Wright Brothers,David McCullough,,Hardcover,2015
1156,Team of Rivals,Doris Kearns Goodwin,,Paperback,2005
1157,The Diary of a Young Girl,Anne Frank,Anne Frank: The Diary of a Young Girl,Paperback,1947
1158,Night,Elie Wiesel,,Paperback,1956
1159,The Color Purple,Alice Walker,,Paperback,1982
1160,Their Eyes Were Watching God,Zora Neale Hurston,,Paperback,1937
1161,Invisible Man,Ralph Ellison,,Paperback,1952
1162,The Sun Also Rises,Ernest Hemingway,,Paperback,1926
1163,A Farewell to Arms,Ernest Hemingway,,Paperback,1929
1164,The Old Man and the Sea,Ernest Hemingway,,Paperback,1952
1165,Don Quixote,Miguel de Cervantes,,Paperback,1605
1166,The Odyssey,Homer,,Paperback,
1167,The Iliad,Homer,,Paperback,
1168,Meditations,Marcus Aurelius,,Paperback,
1169,The Republic,Plato,,Paperback,
